asset,date,source,target_position,days_until_combined_confirms,missed_directional_return_until_confirm
BTC,2025-01-16,vol_position,1,5,0.056134540006179456
BTC,2025-03-18,vol_position,1,,0.009753860175095053
BTC,2025-04-22,vol_position,-1,0,-0.06767662701452015
BTC,2025-06-06,vol_position,1,0,0.027707252931573167
BTC,2025-06-08,vol_position,1,0,0.0016855786016509722
BTC,2025-07-10,vol_position,-1,0,-0.041864660687494615
BTC,2025-08-13,vol_position,-1,0,-0.026388279596092357
BTC,2025-09-09,vol_position,1,,0.08596442712352137
BTC,2025-09-28,vol_position,1,0,0.02225248016477188
BTC,2025-10-02,vol_position,-1,,0.06341936142634141
BTC,2025-10-08,vol_position,1,0,0.01567280940669602
BTC,2025-10-28,vol_position,1,,-0.20008839431642067
BTC,2025-11-03,vol_position,1,0,-0.03698585893164408
BTC,2025-11-29,vol_position,1,0,-0.0007425028351905061
BTC,2025-12-21,vol_position,1,0,0.0031439599746445612
ETH,2018-02-04,trend_position,1,,0.0
ETH,2018-02-09,trend_position,1,,0.0
ETH,2018-02-14,trend_position,1,,0.0
ETH,2018-03-07,trend_position,1,,0.0
ETH,2018-04-11,trend_position,1,,0.0
ETH,2018-04-15,trend_position,-1,,0.0
ETH,2018-04-24,trend_position,1,,0.0
ETH,2018-04-25,trend_position,-1,,0.0
ETH,2018-04-26,trend_position,1,,0.0
ETH,2018-05-23,trend_position,1,,0.0
ETH,2018-05-29,trend_position,1,,0.0
ETH,2018-06-22,trend_position,1,,0.0
ETH,2018-06-27,trend_position,1,,0.0
ETH,2018-07-06,trend_position,1,,0.0
ETH,2018-08-01,trend_position,1,,0.0
ETH,2018-08-09,trend_position,1,,0.0
ETH,2018-08-29,trend_position,1,,0.0
ETH,2018-09-17,trend_position,1,,0.0
ETH,2018-09-26,trend_position,1,,0.0
ETH,2018-10-01,trend_position,1,,0.0
ETH,2018-10-11,trend_position,1,,0.0
ETH,2018-11-06,trend_position,-1,,0.0
ETH,2018-11-10,trend_position,1,,0.0
ETH,2018-11-11,trend_position,-1,,0.0
ETH,2018-11-14,trend_position,1,,0.0
ETH,2018-12-18,trend_position,1,,-0.1212722840526137
ETH,2018-12-23,trend_position,-1,,0.11716082166215691
ETH,2019-01-02,trend_position,1,0,0.10103913415708599
ETH,2019-01-14,trend_position,1,0,0.10411591049723246
ETH,2019-01-30,trend_position,1,,0.2921015862400962
ETH,2019-02-10,trend_position,-1,,-0.16064569175653598
ETH,2019-02-18,trend_position,1,0,0.09355989170737233
ETH,2019-02-24,trend_position,-1,,0.1314951871716883
ETH,2019-02-27,trend_position,1,0,-0.014220575048522921
ETH,2019-03-05,trend_position,1,0,0.07864083293078838
ETH,2019-03-16,trend_position,-1,,-0.18387861244781312
ETH,2019-04-02,trend_position,1,0,0.15604155441984235
ETH,2019-04-15,trend_position,-1,,-0.36562862442499566
ETH,2019-04-16,trend_position,1,0,0.03743958900454958
ETH,2019-05-12,trend_position,-1,,-0.2744562321035723
ETH,2019-05-13,trend_position,1,0,0.05082583448512268
ETH,2019-06-23,trend_position,1,0,-0.005018162764330536
ETH,2019-06-27,trend_position,-1,,0.4568564810972533
ETH,2019-06-29,trend_position,1,0,0.028380634063252197
ETH,2019-06-30,trend_position,-1,,0.391476046774311
ETH,2019-07-11,trend_position,1,,-0.28713144005195923
ETH,2019-08-08,trend_position,1,0,-0.02406960656709367
ETH,2019-08-15,trend_position,1,,0.008026313368671323
ETH,2019-08-18,trend_position,1,,0.12343880811502639
ETH,2019-08-26,trend_position,1,,-0.08536441652498239
ETH,2019-09-10,trend_position,1,0,-0.007520251122596244
ETH,2019-09-16,trend_position,-1,,0.017329896577851
ETH,2019-09-20,trend_position,1,0,-0.014600469925862058
ETH,2019-09-22,trend_position,-1,,0.18768901888348966
ETH,2019-10-18,trend_position,1,0,-0.024754556894477253
ETH,2019-10-24,trend_position,1,,-0.05532540923435958
ETH,2019-11-19,trend_position,1,0,-0.017191274617062935
ETH,2019-12-22,trend_position,1,,0.3244041161388518
ETH,2019-12-24,trend_position,1,,0.2668017819269113
ETH,2019-12-30,trend_position,1,0,-0.0157652738227112
ETH,2020-01-06,trend_position,-1,,-0.3647519590072782
ETH,2020-01-15,trend_position,1,0,0.0016590582058744197
ETH,2020-04-03,trend_position,1,0,0.0004376869758151436
ETH,2020-04-07,trend_position,-1,,-0.24674893031872103
ETH,2020-04-11,trend_position,1,0,-0.0012399681825301379
ETH,2020-04-12,trend_position,-1,,-0.2133503020202807
ETH,2020-04-15,trend_position,1,0,-0.02734513160377705
ETH,2020-05-20,trend_position,1,,0.06412325291527488
ETH,2020-05-30,trend_position,-1,0,-0.0982007880562834
ETH,2020-06-09,trend_position,1,,-0.01337317433112728
ETH,2020-06-13,trend_position,-1,0,-0.005960735282637852
ETH,2020-06-14,trend_position,1,,0.005452467981041265
ETH,2020-07-08,trend_position,-1,,-0.39735106870602754
ETH,2020-07-22,trend_position,-1,,-0.40767390047561614
ETH,2020-07-23,trend_position,1,0,0.047669180441096026
ETH,2020-09-02,trend_position,-1,,0.27054617918836477
ETH,2020-09-05,trend_position,1,,-0.08830687525418812
ETH,2020-09-23,trend_position,1,,0.1894424325961941
ETH,2020-10-03,trend_position,1,,0.10662526308756815
ETH,2020-10-12,trend_position,-1,,-0.2161193748933995
ETH,2020-10-21,trend_position,1,1,0.12092011840727879
ETH,2020-10-26,trend_position,-1,0,0.030351866854822607
ETH,2020-10-27,trend_position,1,,0.3171275714476536
ETH,2020-10-28,trend_position,-1,0,0.037986127241859347
ETH,2020-11-01,trend_position,1,,0.5192417115784671
ETH,2020-11-05,trend_position,1,16,0.366399519662052
ETH,2020-12-09,trend_position,1,0,0.033616499701109914
ETH,2020-12-19,trend_position,1,0,0.006850763657229253
ETH,2020-12-20,trend_position,-1,,-0.5947774037314006
ETH,2020-12-29,trend_position,1,0,0.0015372492130329984
ETH,2021-01-30,trend_position,1,0,-0.004634533699547028
ETH,2021-02-03,trend_position,1,0,0.09616976222373852
ETH,2021-02-07,trend_position,-1,,-0.1677633038155597
ETH,2021-02-09,trend_position,1,0,0.012262685569933707
ETH,2021-02-25,trend_position,1,,0.05528113214740471
ETH,2021-04-02,trend_position,1,0,0.08392791834374091
ETH,2021-04-07,trend_position,-1,,-0.44503634527194647
ETH,2021-04-11,trend_position,1,0,0.010166400745060589
ETH,2021-04-12,trend_position,-1,,-0.4882300344146553
ETH,2021-04-13,trend_position,1,0,0.07471158447120319
ETH,2021-04-20,trend_position,1,0,0.07571926454479683
ETH,2021-06-19,trend_position,1,,-0.18570164745707307
ETH,2021-06-27,trend_position,1,,0.25644225394671327
ETH,2021-07-15,trend_position,1,0,-0.04169600090882597
ETH,2021-07-30,trend_position,-1,0,-0.03612188139554173
ETH,2021-07-31,trend_position,1,,0.30702257193057414
ETH,2021-08-02,trend_position,-1,0,-0.01885404331468732
ETH,2021-08-04,trend_position,1,14,0.2069016385381559
ETH,2021-09-02,trend_position,1,0,-0.011431577462321041
ETH,2021-09-20,trend_position,1,,0.24825262023554462
ETH,2021-10-20,trend_position,1,0,0.0717809099596558
ETH,2021-11-18,trend_position,1,,-0.07620443111666686
ETH,2021-12-13,trend_position,1,,-0.18435202944010864
ETH,2022-01-02,trend_position,1,,-0.2593258366422877
ETH,2022-01-12,trend_position,1,,-0.0959596420349228
ETH,2022-01-16,trend_position,1,,-0.045234100878077
ETH,2022-03-11,trend_position,1,0,-0.018590756322895086
ETH,2022-03-25,trend_position,1,0,-0.0004474251140281771
ETH,2022-04-01,trend_position,1,0,0.051166270347545506
ETH,2022-04-27,trend_position,1,,-0.3857764942244448
ETH,2022-06-03,trend_position,1,0,-0.03220668042518249
ETH,2022-06-09,trend_position,1,0,-0.0020886896458599535
ETH,2022-06-27,trend_position,1,0,-0.005126553295592751
ETH,2022-07-16,trend_position,1,0,0.09690575753178088
ETH,2022-07-17,trend_position,-1,,-0.3414498280495476
ETH,2022-07-18,trend_position,1,0,0.17934838115706353
ETH,2022-07-25,trend_position,-1,,-0.10135739434204183
ETH,2022-07-27,trend_position,1,0,0.13484879413164408
ETH,2022-08-17,trend_position,-1,,0.22427031329730762
ETH,2022-08-18,trend_position,1,0,0.007642215771740624
ETH,2022-09-10,trend_position,-1,,0.2745382922056032
ETH,2022-09-13,trend_position,1,0,-0.07759364606085906
ETH,2022-09-15,trend_position,1,0,-0.09974676508128455
ETH,2022-09-18,trend_position,1,,-0.10838277080867309
ETH,2022-09-22,trend_position,1,,0.0492503773621491
ETH,2022-09-25,trend_position,1,,0.10900823293431161
ETH,2022-10-03,trend_position,1,,0.19090943180433273
ETH,2022-10-09,trend_position,1,0,0.005400043427506773
ETH,2022-10-25,trend_position,1,,-0.10484426352404363
ETH,2022-11-03,trend_position,-1,0,-0.007784341818641627
ETH,2022-11-04,trend_position,1,,-0.16407333105379318
ETH,2022-11-09,trend_position,1,,-0.051432286717633335
ETH,2022-12-04,trend_position,1,0,0.029695743878074943
ETH,2022-12-16,trend_position,1,2,-0.06446750236722276
ETH,2023-01-04,trend_position,-1,0,-0.03436658792451519
ETH,2023-01-13,trend_position,1,,0.06847632421904315
ETH,2023-02-10,trend_position,1,,0.028358543787063484
ETH,2023-03-11,trend_position,1,,0.3372960940197893
ETH,2023-03-17,trend_position,-1,,-0.22704251129077002
ETH,2023-04-04,trend_position,1,0,0.03353483092395293
ETH,2023-04-19,trend_position,-1,0,0.0798911508279696
ETH,2023-05-28,trend_position,-1,0,-0.04357768640169235
ETH,2023-06-10,trend_position,1,,0.021916435187105288
ETH,2023-06-15,trend_position,1,,0.17021749931625174
ETH,2023-07-13,trend_position,1,0,0.07178928293005193
ETH,2023-07-17,trend_position,-1,,0.06305219395993489
ETH,2023-10-01,trend_position,1,,0.08694377376798768
ETH,2023-10-02,trend_position,-1,0,0.04047897066718287
ETH,2023-10-23,trend_position,1,,0.24106537564382235
ETH,2023-10-28,trend_position,-1,0,0.0019253015900075887
ETH,2023-11-01,trend_position,1,13,0.08951131257479639
ETH,2023-12-03,trend_position,1,0,0.012923071442646705
ETH,2023-12-09,trend_position,-1,0,0.007443253883560708
ETH,2023-12-10,trend_position,1,,0.0015598385476376375
ETH,2023-12-11,trend_position,-1,0,0.054361666168691425
ETH,2023-12-14,trend_position,1,,0.13976042421624957
ETH,2023-12-15,trend_position,-1,0,0.04197642081514141
ETH,2023-12-16,trend_position,1,,0.1315826817856094
ETH,2024-01-11,trend_position,1,,-0.03132145696376143
ETH,2024-01-12,trend_position,-1,0,0.036325484903951155
ETH,2024-01-16,trend_position,1,,0.12463950484448283
ETH,2024-01-17,trend_position,-1,0,0.02292459711281536
ETH,2024-02-09,trend_position,-1,0,-0.02793873689875137
ETH,2024-02-14,trend_position,1,,0.41368594056525954
ETH,2024-02-15,trend_position,-1,0,-0.016730812227639058
ETH,2024-02-16,trend_position,1,18,0.2586712752112268
ETH,2024-03-19,trend_position,1,,-0.12847056077007213
ETH,2024-04-14,trend_position,1,,-0.04118021084049506
ETH,2024-05-20,trend_position,1,0,0.19272223475749883
ETH,2024-06-14,trend_position,1,,-0.06491320023059566
ETH,2024-06-17,trend_position,1,,-0.06402623145730357
ETH,2024-07-13,trend_position,1,,-0.1307294387371264
ETH,2024-08-02,trend_position,1,,-0.2416512679043028
ETH,2024-08-06,trend_position,1,,-0.02046525777463981
ETH,2024-08-08,trend_position,1,,-0.02674076109614143
ETH,2024-08-12,trend_position,1,,-0.08358384837964727
ETH,2024-08-25,trend_position,1,0,-0.007305556877908126
ETH,2024-09-08,trend_position,1,,0.07287855392253006
ETH,2024-09-13,trend_position,1,0,0.03379882152498004
ETH,2024-09-20,trend_position,-1,,-0.11895019886512004
ETH,2024-10-16,trend_position,1,0,0.0019493612019787498
ETH,2024-10-20,trend_position,-1,,-0.18659217624826374
ETH,2024-11-07,trend_position,1,0,0.06292423408548897
ETH,2024-11-14,trend_position,-1,,-0.2093158018043325
ETH,2024-11-15,trend_position,1,0,0.014414035918883572
ETH,2024-11-17,trend_position,-1,,-0.22700020668074616
ETH,2024-11-18,trend_position,1,0,0.04298093890177013
ETH,2024-11-19,trend_position,-1,,-0.10512591237848934
ETH,2024-11-21,trend_position,1,0,0.09402613638837987
ETH,2024-12-12,trend_position,1,0,0.013118151777930187
ETH,2024-12-19,trend_position,1,,-0.08649344118418312
ETH,2025-01-28,trend_position,1,,-0.27475869869712155
ETH,2025-02-12,trend_position,1,,-0.26637438625569154
ETH,2025-02-23,trend_position,1,0,0.020723733255699095
ETH,2025-03-08,trend_position,1,,-0.27290789156349393
ETH,2025-03-21,trend_position,1,0,-0.008704061657306195
ETH,2025-03-29,trend_position,1,0,-0.03597072635426679
ETH,2025-04-01,trend_position,1,0,0.044975253629213396
ETH,2025-04-09,trend_position,1,,0.5928168045590063
ETH,2025-04-11,trend_position,1,,0.6487400975941107
ETH,2025-05-06,trend_position,1,23,0.4467540737005973
ETH,2025-06-07,trend_position,1,0,0.019905800865118284
ETH,2025-06-10,trend_position,-1,0,-0.049226047740363876
ETH,2025-06-22,trend_position,1,3,0.051647435006256126
ETH,2025-07-09,trend_position,-1,0,-0.05936584999764771
ETH,2025-07-13,trend_position,1,,0.5599941132385282
ETH,2025-08-10,trend_position,1,,0.010658221263738499
ETH,2025-08-19,trend_position,-1,0,0.055429681352263005
ETH,2025-08-23,trend_position,1,,-0.13008193760597964
ETH,2025-08-25,trend_position,-1,0,0.08508151935728447
ETH,2025-09-12,trend_position,-1,9,-0.002745892286032281
ETH,2025-09-28,trend_position,1,,-0.009056692585804327
ETH,2025-11-09,trend_position,1,,-0.023309477209120244
ETH,2025-11-30,trend_position,1,0,0.0001428111751458072
ETH,2025-12-09,trend_position,-1,,0.04677360908904871
ETH,2019-01-01,vol_position,1,1,0.10103913415708599
ETH,2019-02-10,vol_position,1,8,0.22328803833130673
ETH,2019-03-20,vol_position,1,,0.23619007617058996
ETH,2019-04-01,vol_position,1,1,0.15862481006587248
ETH,2019-05-12,vol_position,1,1,0.013082293768089892
ETH,2019-06-23,vol_position,1,0,-0.005018162764330536
ETH,2019-08-08,vol_position,1,0,-0.02406960656709367
ETH,2019-09-08,vol_position,1,2,0.008552277532974273
ETH,2019-10-10,vol_position,1,8,-0.10177241002625015
ETH,2019-10-28,vol_position,1,22,-0.036835568650555484
ETH,2019-12-30,vol_position,1,0,-0.0157652738227112
ETH,2020-04-03,vol_position,1,0,0.0004376869758151436
ETH,2020-04-21,vol_position,-1,,-0.1732946405159469
ETH,2020-05-30,vol_position,-1,0,-0.0982007880562834
ETH,2020-07-13,vol_position,1,,0.6149234989437782
ETH,2020-07-23,vol_position,1,0,0.047669180441096026
ETH,2020-10-12,vol_position,1,,0.23409393658245592
ETH,2020-10-21,vol_position,-1,,-0.3052266366286005
ETH,2020-10-22,vol_position,1,0,0.055032023655851914
ETH,2020-10-24,vol_position,-1,2,0.03907084308158759
ETH,2020-11-06,vol_position,-1,,-0.3619765131252993
ETH,2020-11-21,vol_position,1,0,0.07796466688339021
ETH,2020-12-19,vol_position,1,0,0.006850763657229253
ETH,2020-12-29,vol_position,1,0,0.0015372492130329984
ETH,2021-01-30,vol_position,1,0,-0.004634533699547028
ETH,2021-02-03,vol_position,1,0,0.09616976222373852
ETH,2021-03-14,vol_position,1,,0.19457845656722883
ETH,2021-04-02,vol_position,1,0,0.08392791834374091
ETH,2021-07-04,vol_position,1,11,-0.1414745885246197
ETH,2021-07-24,vol_position,1,,0.5621676681314733
ETH,2021-07-30,vol_position,-1,0,-0.03612188139554173
ETH,2021-08-18,vol_position,1,0,0.0017393580222999638
ETH,2021-09-02,vol_position,1,0,-0.011431577462321041
ETH,2021-10-06,vol_position,1,14,0.18117671483165387
ETH,2022-02-04,vol_position,1,,-0.046329865999626074
ETH,2022-02-27,vol_position,1,,0.22324739800098992
ETH,2022-03-10,vol_position,1,1,-0.062356762824861356
ETH,2022-03-16,vol_position,1,9,0.18568470964718742
ETH,2022-06-03,vol_position,1,0,-0.03220668042518249
ETH,2022-06-27,vol_position,1,0,-0.005126553295592751
ETH,2022-09-11,vol_position,1,2,-0.11001878196461312
ETH,2022-10-09,vol_position,1,0,0.005400043427506773
ETH,2022-10-25,vol_position,-1,9,-0.13767538131407864
ETH,2022-12-02,vol_position,1,2,0.0031205417075232944
ETH,2022-12-18,vol_position,1,0,-0.0028904831146532306
ETH,2023-01-04,vol_position,-1,0,-0.03436658792451519
ETH,2023-02-09,vol_position,1,,-0.1018346078349015
ETH,2023-03-17,vol_position,1,18,0.1155425037240494
ETH,2023-04-12,vol_position,-1,7,-0.03418571402777404
ETH,2023-05-28,vol_position,-1,0,-0.04357768640169235
ETH,2023-07-09,vol_position,1,4,0.07556630132504516
ETH,2023-10-01,vol_position,-1,1,0.0014734678900125697
ETH,2023-10-23,vol_position,-1,5,-0.0675876662756324
ETH,2023-11-14,vol_position,1,0,-0.03708171667973137
ETH,2023-12-03,vol_position,1,0,0.012923071442646705
ETH,2023-12-09,vol_position,-1,0,0.007443253883560708
ETH,2024-01-10,vol_position,-1,2,-0.08207499747973368
ETH,2024-02-09,vol_position,-1,0,-0.02793873689875137
ETH,2024-03-05,vol_position,1,0,-0.02078793930730316
ETH,2024-05-19,vol_position,1,1,0.17320375662182652
ETH,2024-07-17,vol_position,1,,-0.24693584681513503
ETH,2024-08-24,vol_position,1,1,-0.005530692584014729
ETH,2024-09-13,vol_position,1,0,0.03379882152498004
ETH,2024-10-13,vol_position,1,3,0.05434185223168497
ETH,2024-11-07,vol_position,1,0,0.06292423408548897
ETH,2025-02-23,vol_position,1,0,0.020723733255699095
ETH,2025-03-21,vol_position,1,0,-0.008704061657306195
ETH,2025-04-29,vol_position,1,,0.46351954921331706
ETH,2025-05-08,vol_position,-1,,-0.342583917209742
ETH,2025-05-29,vol_position,1,0,-0.01847657419064974
ETH,2025-06-07,vol_position,1,0,0.019905800865118284
ETH,2025-06-10,vol_position,-1,0,-0.049226047740363876
ETH,2025-06-25,vol_position,1,0,-0.011723195789307361
ETH,2025-07-09,vol_position,-1,0,-0.05936584999764771
ETH,2025-08-08,vol_position,-1,11,-0.05844178160899771
ETH,2025-08-27,vol_position,1,,-0.12271444543719101
ETH,2025-09-21,vol_position,-1,0,0.0069019835114079164
ETH,2025-11-30,vol_position,1,0,0.0001428111751458072
